gene_name	IMMU.BC2.0118.FIXT.01.RNA.01	IMMU.BC2.0140.FIXT.01.RNA.01	IMMU.BC2.0145.FIXT.01.RNA.01	IMMU.BC2.0151.FIXT.01.RNA.01	IMMU.BC2.0159.FIXT.02.RNA.01	IMMU.BC2.0163.FIXT.01.RNA.01	IMMU.BC2.0166.FIXT.01.RNA.01
ARF5	11.443667	30.401372	42.225596	22.351858	30.811381	48.925073	72.695892
SARM1	1.691073	3.328072	2.562995	1.619559	3.925922	0.915015	3.856059
POLDIP2	14.183068	11.361084	21.829918	9.574137	17.840895	17.604239	20.321113
PLXND1	39.383725	56.743936	59.243597	65.621362	71.124563	27.349618	60.823041
AK2	53.723718	41.312575	59.641812	31.339234	52.91226	80.333343	134.496997
CD38	0.202582	15.657413	6.670534	1.630536	14.078306	2.162058	1.219906
FKBP4	67.0925	15.71365	22.812305	34.39891	47.206891	76.355121	66.206089
KDM1A	6.130372	13.793578	15.289602	9.620348	18.709825	14.288195	51.969822
RBM6	28.894571	43.602185	47.132034	44.127564	78.227405	29.752351	59.407103
CAMKK1	1.694283	1.849415	2.055382	2.484798	4.999522	1.625057	4.182088
RECQL	8.46958	13.586717	14.237251	8.772914	22.657195	15.850432	34.975172
VPS50	10.761572	14.700469	10.294534	9.516241	28.378004	4.878171	14.35357
HSPB6	1.017758	15.212505	9.552416	2.0729	5.680184	1.223029	1.613334
ARHGAP33	3.426385	5.115379	3.816153	2.596675	3.455574	2.802571	9.21819
NDUFAB1	17.489904	18.045538	26.63229	22.43999	34.242047	18.759333	37.945509
PDK4	1.431209	14.691643	11.121697	1.179709	7.758614	1.402168	1.430661
SLC22A16	0.015085	1.032902	0.127213	0	0.081283	0.388012	0.164801
ZMYND10	0.676348	0.221834	0.336746	0.100547	0.13625	0.071318	0.272545
ABCB5	0.068236	0.214032	0.08462	0.029246	0.045898	0.048361	0.165429
ARX	1.100536	0	0.159229	0.436025	0.081578	0.127555	0.199441
SLC25A13	13.717021	9.70338	11.973909	10.263512	16.066226	6.589983	20.873091
ST7	5.640867	5.716226	9.137358	4.331879	11.819643	8.071645	17.667086
CDC27	16.139119	19.151583	36.394049	10.922485	38.696693	23.684367	34.964308
SLC4A1	0.041031	0.156493	0.012641	0	0.016284	0.026043	0.156675
CALCR	0.041293	0.057912	0.162062	0.081467	0.122649	0.01606	0.062287
HCCS	3.86345	8.000764	8.763417	10.054733	12.911426	11.440231	19.671459
DVL2	5.815981	10.275463	9.131286	6.851811	11.893226	8.502503	23.621545
PRSS22	16.60334	3.017689	1.79171	9.707727	8.109778	4.275427	5.45165
UPF1	14.664252	29.3677	23.241453	17.333398	24.557248	18.221139	27.358819
SKAP2	9.759749	11.91248	12.661154	13.833463	28.415391	9.025412	23.727507
SLC25A5	36.710494	44.62292	157.094427	72.311201	72.763329	118.017121	127.682481
MCUB	3.764237	8.414672	5.886965	5.273714	22.795362	5.551742	5.781622
HOXA11	0.151895	0.231078	0.131665	0.271461	0.03054	0.586309	1.644167
POLR2J	7.631394	15.723358	33.036477	15.314763	15.697023	33.587192	21.602236
DHX33	1.813737	4.129644	4.538304	2.286543	7.380124	5.500193	10.325673
MEOX1	0.053636	10.174349	0.576212	0.179028	4.92698	0.257363	0.563343
THSD7A	0.520361	2.519425	1.920298	0.460737	1.247124	0.278166	0.810239
LIG3	11.590488	11.293603	18.011925	5.890738	20.118092	14.114798	28.878485
RPAP3	6.836415	8.391843	15.58454	5.542908	23.802167	7.30586	30.945383
ACSM3	2.686813	5.840074	3.230641	1.818528	2.850395	0.695157	2.64073
REXO5	2.614018	1.570926	4.260748	1.914701	2.40995	0.802159	5.779916
CIAPIN1	8.09462	9.744699	9.796074	8.463051	13.152622	13.473288	25.47999
SPPL2B	12.8491	15.681281	17.755208	16.191405	22.840018	11.880515	21.098966
FAM214B	2.73665	5.375326	13.171585	5.67613	7.237323	3.151423	11.471448
COPZ2	9.67101	12.227607	14.011879	14.988887	10.162884	7.967458	19.615053
PRKAR2B	4.113132	3.338211	6.151224	7.544987	15.168937	2.467241	12.002331
MSL3	5.64049	15.040821	12.223683	9.521949	27.413892	13.07085	39.723487
CREBBP	39.231047	36.153187	45.625315	26.138642	52.469766	18.102025	60.1786
TSPOAP1	0.99683	2.601266	7.657437	2.061698	5.940724	4.439436	13.494363
MPO	0.00405	0.029681	0.062054	0.038838	0.200785	0.011634	0.114757
PON1	1.928315	0.21548	0.390771	0.173236	0.057951	0.007376	0.057325
GCFC2	6.726258	7.07184	13.333219	3.902213	14.283465	7.476017	22.234426
WDR54	0.606747	1.740384	3.879185	2.06194	2.350726	2.4762	4.833515
CROT	104.37228	5.944607	6.097984	7.992665	5.986243	1.135443	8.515791
ABCB4	0.427813	1.239316	0.646361	0.488827	5.691834	0.143528	0.899212
KMT2E	17.086063	43.538267	43.061094	26.879444	84.701974	22.886899	57.372315
RHBDD2	27.68543	11.356312	18.740406	23.64319	11.240501	11.031306	23.878573
SOX8	0.63274	0.206422	0.094855	0.425022	4.12924	0.578497	5.414045
IBTK	12.942278	10.827682	26.122331	9.33602	27.084873	11.712794	20.492753
ZNF195	10.819809	19.366137	18.42742	8.633538	29.474278	22.017672	21.806853
MYCBP2	55.147872	47.878631	31.442729	44.642825	71.955353	18.382451	42.949139
FBXL3	43.439739	13.523887	13.433379	14.377361	34.790854	10.120942	22.474107
ITGAL	1.637145	20.290692	4.77538	5.195381	28.191941	2.333348	2.071995
PDK2	3.267312	6.473739	6.959055	10.052621	9.07435	3.837888	13.375727
ITGA3	2.830316	5.000238	12.470879	10.716106	7.746805	3.759081	13.67457
ZFX	18.389824	25.586976	24.680327	11.618291	36.703193	13.450711	49.816735
LAMP2	51.025361	35.598413	104.285688	31.308757	69.977432	51.500993	80.230202
ITGA2B	0.106591	0.173508	1.632081	0.107783	0.394002	2.23434	1.900636
ASB4	0.049846	0.078108	0.030862	0	0.003554	0.002425	0.264364
GDE1	22.628831	10.915933	21.296497	19.658645	16.179133	10.193668	31.768522
REX1BD	6.016171	14.235147	9.971495	11.779703	10.205498	10.897652	9.524204
CRLF1	1.030814	1.312696	1.250689	0.306969	1.329614	22.165896	17.236492
OSBPL7	1.604152	4.568967	5.117502	4.167624	7.248015	2.027303	3.548251
TMEM98	3.328448	11.722629	20.35457	3.301504	18.984621	8.870048	19.978097
YBX2	2.956065	0.193046	1.590734	3.183071	0.571848	1.649867	12.792918
KRT33A	0	0	0.013559	0	0	0	0.046982
MAP3K14	4.501902	6.718018	5.13131	4.062566	9.963443	3.854004	2.744845
ABCC8	0.929169	0.028168	0.315771	1.091216	0.108167	0.552309	0.152707
CACNG3	0.004229	0.004425	0	0	0.008901	0	0
TMEM132A	20.491804	20.108624	40.084438	94.119806	42.440377	94.709946	93.496805
AP2B1	18.682556	25.430421	55.899492	21.087138	45.914455	18.839931	36.699346
TAC1	0	0.029868	0.135713	0.04812	0	0	0
ZNF263	14.630864	9.530646	9.488498	8.644635	13.942509	6.427044	10.993728
CX3CL1	0.644568	4.812627	6.087278	2.749612	52.217459	5.434161	22.831572
SPATA20	4.662727	5.060279	9.73229	8.943025	9.6963	6.49541	12.590525
CACNA1G	0.071826	0.330373	0.208217	0.128164	0.334443	0.04003	0.407729
TNFRSF12A	14.938985	14.261729	20.826702	26.584078	24.095762	34.492527	12.896297
DLX6	0.005817	0.036332	0.101185	0.086226	0.054741	1.260283	2.372803
MAP3K9	3.846753	1.642535	3.12663	5.138393	2.218031	2.187458	4.909314
RALA	12.692628	10.471255	32.176603	15.708749	19.679391	12.837668	35.852393
BAIAP2L1	25.136179	9.24864	22.51821	3.806552	13.530493	13.668033	34.617345
KDM7A	7.524491	7.900552	12.403631	2.63622	18.084201	6.436003	17.02705
ETV1	2.793834	4.043837	4.446576	2.100624	4.204371	1.097314	12.016114
AGK	3.113123	10.080777	13.038899	4.43145	19.794083	10.233085	36.493623
ALDH3B1	1.464443	2.102895	2.544327	2.350857	2.377244	2.786497	3.515966
TTC22	1.270052	3.421206	2.547059	0.554909	4.08087	4.834602	6.528019
PHTF2	7.337693	9.757025	12.854476	5.287689	22.752387	5.212523	16.545205
CCL26	0.099623	0.183586	0.576708	0.307623	0.82906	0.227013	0.371963
FARP2	20.411334	15.842362	21.144111	13.259754	20.838251	10.822256	17.272983
USH1C	0.854867	0.01682	0.042107	0.03584	0.162721	1.131889	0.211731
GGCT	38.696577	14.069034	150.792293	96.3641	22.255635	36.976215	94.686889
DBF4	6.04681	11.487311	7.026315	5.255352	15.624448	6.809706	19.366044
TBXA2R	0.47451	0.926838	0.938651	0.806768	0.845865	0.359704	2.179874
IFRD1	7.358848	10.964014	27.291243	6.898417	31.421435	17.643786	48.198532
LGALS14	0	0.043705	0.025181	0	0.042753	0	0.017174
COX10	2.137818	5.480899	4.862078	4.161171	11.360868	6.618721	7.580253
GTF2IRD1	2.52029	3.82375	2.43284	3.691779	5.399608	7.351155	14.278915
PAF1	6.785069	7.341668	12.703781	7.895518	10.146834	5.740785	21.111509
VPS41	17.308183	22.513396	54.326963	16.861237	39.532881	11.643462	40.054479
ARHGAP44	1.899202	3.49408	6.001163	2.110105	2.961058	2.851214	13.203985
ELAC2	12.69106	13.165008	16.599153	12.833422	23.872155	10.835558	41.934176
SCIN	1.110246	1.029832	3.757453	1.53335	2.066351	0.238889	4.369635
ARSD	11.089534	6.624737	35.913128	16.438408	10.015114	13.296388	39.065436
PNPLA4	3.810576	2.559356	4.112632	5.258108	3.435844	8.208787	14.850414
MYH13	0	0.00898	0.001315	0	0	0.00309	0.13701
ADIPOR2	26.063866	10.777203	19.296247	8.789391	32.344635	34.145133	36.762424
CDKL3	0.832915	0.583477	1.026511	0.2125	0.83048	0.778346	0.955106
UPP2	0.024195	0.051424	0.031404	0	0.076529	0	0.178071
PRSS21	0.266855	2.555798	0.205309	0.055528	1.808664	0.064761	0.139076
MARK4	4.953292	10.232897	10.836763	4.566985	8.999297	8.84777	21.353136
PROM1	0.344232	16.484228	14.442856	2.570377	136.370035	80.482927	140.042838
CCDC124	7.749622	13.55412	17.756115	13.536365	12.528888	29.719512	14.356359
CEACAM21	0.416584	3.351965	1.203378	1.572333	5.02716	0.176626	1.144568
PAFAH1B1	23.518951	34.376153	42.81534	23.705911	93.946035	28.226584	126.802233
NOS2	0.139535	0.109531	0.186747	0.084049	0.738117	0.055133	0.223021
DNAH9	0.168221	0.016501	0.6248	0.0746	0.185489	0.004017	0.016981
KIAA0100	33.949502	30.068482	59.335738	25.329254	63.347269	54.875578	78.867441
SLC13A2	0	0.028135	2.53626	0.042356	0.306673	0.776442	0.09162
GAS7	3.538876	11.154514	6.869967	9.439467	19.25643	4.173364	10.481832
TRAPPC6A	10.081476	3.979349	7.535057	9.429402	5.02605	4.517403	11.321245
MATK	0.240762	1.834377	0.743846	0.829066	1.841331	0.878965	0.657173
CEACAM7	0.891917	0	1.027735	0.785602	0.550332	0.019064	0.013676
CD79B	0.328136	8.976925	1.718157	2.049509	21.790117	0.484411	1.752936
SCN4A	0.109623	0.602607	0.367402	0.377057	0.539188	0.08149	0.018086
ST7L	8.021314	8.659141	11.100117	6.292632	14.299161	5.012384	21.594751
TKTL1	0.052318	0.048524	0.009466	0.114365	0.428268	0	0.247143
PAX6	0.523715	0.420141	0.263459	3.619735	1.030679	0.0326	3.725302
RPUSD1	3.554281	6.151667	3.14371	4.265401	3.584472	5.577483	5.924719
RHBDF1	19.924004	11.992319	7.897619	9.756016	11.077448	6.722305	14.411755
LUC7L	36.46559	30.388519	25.113867	23.238939	43.207483	12.747013	30.091935
CACNA2D2	0.158093	0.239962	0.255444	0.273086	0.213224	0.265962	0.724229
BAIAP3	0.062322	0.675826	0.347066	0.284439	0.40435	0.232928	2.060504
TSR3	6.297293	9.066922	6.980924	8.414303	8.307735	10.752858	10.319733
PIGQ	17.781346	10.645008	7.887864	13.836457	9.174834	6.013794	14.730778
CRAMP1	19.097407	9.936647	5.993096	12.549149	9.74444	4.793293	9.542766
TEAD3	5.949879	4.223259	9.780282	6.287735	5.303041	8.788411	22.680395
SELE	0.143449	3.444334	1.760508	0.665088	4.908539	0.404681	2.237734
DNAJC11	5.348084	9.613042	19.525851	12.139404	12.382499	10.774718	13.878862
FMO3	0.442289	0.729425	70.946758	1.105163	0.504864	0.206644	1.259181
MYLIP	13.447501	11.304542	13.303477	15.40216	18.603781	5.588042	22.478044
NOX1	0	0	0.101289	0	0.024564	0.019662	0.020213
E2F2	0.234439	1.365873	2.694233	0.686653	1.153146	8.973699	8.100111
PSMB1	43.956153	31.298682	33.032737	43.153362	50.567268	29.883314	49.197571
SYN1	0.053417	1.923508	0.237436	0.1666	0.380018	0.398222	3.466938
JARID2	5.445376	6.168669	8.112548	5.285161	12.231886	7.250727	11.853024
CDKL5	5.230041	5.945818	7.593887	6.226518	8.219715	9.56179	16.455273
CAMK1G	0.070996	0.045532	0.146558	0.093525	0.080061	0.038945	0.065192
CDK11A	7.872022	13.608762	19.080433	10.532709	17.754879	5.768547	11.610881
NADK	10.746961	21.19288	25.302874	16.558958	27.098325	11.366684	20.42218
TFAP2B	79.634645	0.093183	17.481977	99.773158	0.041751	0.039449	2.311578
TFAP2D	0	0	4.386696	0	0	0.011436	0
DLEC1	0.406476	0.54084	0.408515	0.133116	0.970371	0.505446	0.908714
CYTH3	8.160812	7.625993	9.806526	7.868142	16.692847	8.361174	19.522787
ADAM22	0.513576	2.233638	1.36268	4.827906	3.545485	0.326374	1.802356
SYPL1	12.64337	17.801008	34.537938	15.986783	58.255883	27.059011	45.926424
CYB561	67.82053	14.012923	34.057312	72.226055	22.273657	17.096985	22.977158
SPAG9	19.596881	27.339388	55.08402	20.653704	52.901059	25.615614	37.912316
CELSR3	3.373406	1.433084	2.155941	1.206189	0.357646	0.711836	0.769294
AASS	2.237531	7.382231	10.786383	2.919636	8.937738	0.826275	4.335897
PLEKHG6	0.338991	1.228216	8.164216	0.233601	4.906193	18.879636	6.372349
SS18L2	11.036218	15.294515	9.455122	5.566216	19.64133	7.027099	14.445275
MPND	2.361515	6.936364	4.518244	3.364572	3.479534	2.590257	4.401632
MGST1	255.776437	23.025878	61.651426	56.598471	49.226339	109.399553	156.03787
CRY1	6.985791	4.003117	16.169169	9.295815	10.764453	4.929764	8.736493
PGLYRP1	0.02407	0.047354	0.01381	0	0	0	0.056437
NFIX	36.542787	40.180203	19.879826	11.279082	19.834728	22.185886	115.247501
ST3GAL1	10.128137	26.780743	19.842177	11.607727	45.397912	9.471891	45.208454
MMP25	0.058284	1.558423	0.331066	0.630869	2.144877	0.728776	1.043053
IL32	8.994357	49.336998	36.490162	24.101519	121.641054	22.866506	32.550455
PKD1	18.543943	28.446726	18.698259	21.148982	14.450935	15.389842	29.853995
MAPK8IP2	3.423874	0.273535	1.643371	1.897506	0.188442	3.997113	12.540674
MED24	10.856165	19.145106	23.578026	9.602644	23.79662	24.064474	18.619041
RHOBTB2	2.604488	4.08919	5.268274	3.203904	6.988804	2.437801	4.893509
HEATR5B	9.40848	9.852068	13.758332	10.523013	19.987513	6.499582	17.380085
SEC62	44.208771	36.818053	74.272679	37.494604	103.442069	43.893417	97.960237
RPS20	288.866976	453.31579	512.259925	314.371404	901.655281	1593.835123	527.857442
CSDE1	142.196748	99.159627	164.373276	81.127388	224.470972	108.667343	303.355578
UBE3C	17.008891	25.915827	48.467798	15.421736	51.544842	36.261863	64.588462
REV3L	7.095077	13.461419	13.268971	4.892328	18.66749	6.338142	9.633847
TENM1	0.494117	0.487776	0.149596	0.072289	0.150281	0.045462	0.102916
PAX7	0	0	5.214897	0.0112	0.085399	0.008268	3.225957
MASP2	0.108265	0.006398	0.023789	0.049585	0.017163	0.066783	0.13143
IYD	4.42497	0.001756	0.615661	2.384987	0.135393	0.137249	0.040009
FAM76A	2.238202	4.135923	5.024619	3.551589	6.297857	6.537309	15.082297
TRAF3IP3	2.216514	15.398581	4.397514	3.784053	51.822271	3.07742	14.739715
POMT2	18.730846	4.011109	9.2093	7.4042	6.556103	7.9337	11.51164
VTA1	12.344215	11.328332	17.739912	9.644474	30.585888	7.905503	14.52408
MLXIPL	0.107304	10.061361	0.574905	0.239889	0.408166	1.017223	3.805316
BAZ1B	18.61521	23.321996	30.267177	14.333442	35.455743	13.709192	51.140228
RANBP9	13.003756	12.399321	26.616122	13.878632	28.73838	14.085496	37.26006
ETV7	0.475231	4.303038	4.516654	0.934739	2.58616	0.805799	3.218438
SPRTN	6.482327	6.398233	5.103022	4.49905	14.080964	7.258764	14.567516
METTL13	10.850061	11.211884	26.047626	10.234855	18.253648	12.471025	29.902849
DYRK4	12.309143	12.998464	15.149432	5.506017	23.009327	26.075407	21.778774
ZNF207	143.211676	69.872074	91.319643	40.001699	146.613669	47.789635	91.940722
UQCRC1	27.540221	12.942484	18.999157	30.448529	23.57054	19.006442	48.908756
STARD3NL	6.752829	8.300064	26.796651	9.633635	16.869384	7.017058	16.302716
CD9	46.934281	23.453991	72.307429	67.609092	87.162164	218.325887	194.343059
HHATL	0.228301	0.024559	0.01428	0.045887	0	0.047907	0.110138
NCAPD2	5.552959	11.370797	14.676118	5.728441	18.832976	38.961239	41.849677
IFFO1	2.196551	7.640381	4.839898	4.307644	7.843635	1.761966	4.178048
GIPR	1.524709	1.417411	2.736119	2.031894	2.080126	0.243662	0.677323
PHF7	1.9127	2.209851	2.469115	2.061325	3.953879	2.424759	8.396707
SEMA3G	1.010535	3.454799	1.846748	1.247076	1.120952	0.398602	1.851591
NISCH	16.029115	26.823202	23.399701	19.739536	31.027645	14.350149	38.929953
STAB1	9.639132	41.428214	39.006616	14.252464	26.88744	6.938344	19.728516
FUZ	0.351557	3.021321	3.221382	1.192106	2.385547	1.771348	7.860025
SLC6A13	0.400535	0.236004	0.188149	0.028217	0.246458	0.487377	0.20549
IDS	17.31348	22.987906	37.224099	17.834169	37.895956	21.179923	26.473585
PRSS3	0	0	0.085729	0	0.05685	0.211296	1.58302
ZNF200	10.379417	5.955008	5.049265	5.627872	9.722185	2.512836	6.139147
CD4	6.339263	29.280507	14.479741	11.648676	50.864095	4.921199	10.880943
LRRC23	4.160199	2.000208	3.771093	1.169932	2.149109	5.986596	5.630626
BTK	2.190588	9.634044	5.02217	3.789194	26.880418	1.965648	2.848732
HFE	9.788843	3.56641	2.947307	5.653574	5.632818	2.663797	7.128332
SCMH1	21.367595	19.764426	17.608433	11.69936	27.321132	33.510178	49.156248
FYN	7.762088	59.493984	46.832362	14.913453	74.175532	5.721465	39.266667
HIVEP2	5.866719	8.318667	9.948726	6.055842	17.567266	3.773257	11.045854
FMO1	0.840783	3.658656	4.451173	5.627601	1.725494	1.681687	8.407321
ELOA	6.592699	9.62564	11.136356	9.865154	15.710452	18.851911	24.779325
LYPLA2	5.495278	10.831102	8.781175	12.576441	9.077309	17.067357	23.196762
CLCN6	4.295144	6.91893	6.649296	7.836336	9.066126	4.468101	6.865702
MRC2	8.33016	21.325557	23.590396	18.20405	10.320963	5.75368	35.230646
NME1-NME2	0.259473	0.421159	0.627843	0.590907	0.959633	0.917471	5.323182
SLC6A7	0.034478	0.087943	0.082578	0.185538	0.4167	0.216525	0.672176
TSPAN9	11.941564	7.124677	15.527809	8.68884	8.968111	7.016604	29.087505
BTBD7	8.357491	7.430525	11.376599	10.022586	17.782091	6.104213	13.088779
APBA3	4.747999	13.064232	8.412579	5.325549	8.363843	5.732384	6.99846
MKS1	7.509385	5.033361	10.783064	3.180323	6.133771	3.983648	4.874545
ABHD5	10.46415	9.072509	10.929488	10.861847	19.865768	7.700387	19.825868
ANOS1	1.192793	0.941237	3.474577	3.575382	2.665946	0.979275	6.552869
AKAP8L	32.0862	35.5032	38.229879	45.599333	33.108196	14.488579	26.963529
MBTD1	9.150847	10.432505	17.077014	6.319249	20.470625	8.749599	13.70895
UTP18	7.99354	10.27809	12.349454	7.763374	18.373704	15.106637	19.448855
RNF216	9.569005	12.287219	17.708456	12.665282	32.524991	10.040626	28.725703
TTC19	6.077671	11.029105	13.731771	8.604258	22.970634	7.224654	36.044633
PTBP1	37.291109	39.824051	63.109267	41.692925	56.366017	74.466579	76.275766
DPF1	0.031718	0.048549	0.431914	0.122004	0.042596	0.489464	2.351083
SYT7	0.931442	5.824646	10.364575	1.556222	10.371133	21.007104	27.984654
LARS2	4.720142	4.956996	5.011522	4.220789	9.639027	3.458089	7.825963
PIK3C2A	10.656147	20.034231	19.900373	13.693299	35.031275	31.518674	34.146409
PLAUR	10.527309	20.711865	62.864763	15.159037	23.40296	19.941841	45.033212
ANLN	5.671798	3.233402	22.531627	3.659377	8.688926	6.989571	65.094453
WIZ	5.855848	11.387668	12.78322	9.785908	9.340126	9.623402	14.09262
RABGAP1	27.291017	28.350916	32.566572	22.310987	38.609046	14.524068	70.693367
DCN	104.080314	276.694704	293.593901	165.796354	120.261411	33.83767	276.955559
QPCTL	1.565372	1.84081	2.134772	1.129789	1.677502	2.327692	3.689247
PPP5C	7.271861	18.361463	19.388174	9.553715	23.095316	12.72037	39.304124
CEP68	1.89803	5.916153	6.131702	4.087217	8.721069	3.261113	13.256727
MAP4K3	23.607654	13.071954	30.487438	14.341779	18.601511	10.840992	30.135385
ZBTB32	0.032024	1.098107	0.28198	0.208941	0.690584	0.200465	0.089126
TYROBP	28.268768	83.457275	46.611533	39.556707	70.860191	27.378835	29.668938
TMEM159	12.408003	7.206746	10.256701	18.609505	9.838104	4.954689	19.768462
GABRA3	0.006949	0.025509	0.083207	0.080629	0.011002	0.062554	0.101718
BRCA1	2.924891	3.986885	14.963725	1.570525	7.135062	0.393783	1.495165
ERCC1	12.364048	18.207423	20.141778	11.499068	24.894654	21.191485	38.091397
CD22	1.199362	13.462837	1.615013	3.825705	59.593393	0.907751	1.155358
SEMA3B	3.112506	1.556924	1.049327	2.838577	0.561681	2.414402	8.510064
MBTPS2	3.583778	4.586824	7.227646	3.730778	9.15501	5.139269	11.713109
PRICKLE3	1.87699	3.500684	3.509705	4.283373	2.90654	3.654415	3.841376
LTF	960.521557	14.552078	20.020363	318.388131	966.041452	10.90893	12.836427
EXTL3	1.817344	8.363497	22.039251	5.167472	11.741948	10.447614	11.537291
NR1H4	0.004553	0	0.005739	0	0	0.018058	0.025904
ELOVL5	301.502228	24.330127	41.644711	50.620827	57.907443	19.581899	38.699158
ALOX5	3.250862	12.19453	9.597492	9.240148	21.376244	6.652255	5.443028
KDM5D	0	0	0	0	0	0	0
CALCOCO1	15.753705	30.680542	25.558356	22.893489	42.813045	16.607062	31.346373
UBR7	6.380209	5.74716	7.858859	5.022673	9.550527	3.763783	12.559704
MAP4K5	12.525398	18.323053	27.862397	20.599885	43.336232	13.557866	34.052887
EHD3	1.402483	2.728033	3.513369	2.593082	2.893689	1.571364	7.304589
PSMC4	19.161863	15.448803	26.836658	15.196332	24.467743	14.100075	41.714954
MAN2B2	5.277609	7.656185	12.201496	11.344889	10.10378	3.441844	6.193958
SLC7A14	0	0.002596	0	0.002012	0	0.002684	0.00321
CLDN11	1.118132	1.519014	1.116958	1.428292	3.592981	1.028474	1.461491
SLC25A39	24.422126	19.864131	56.96122	21.009583	26.266799	72.361598	32.184327
MVP	20.955369	34.463567	27.693154	39.906639	36.726892	10.880243	24.478122
NUB1	11.059183	44.354583	30.809114	12.788229	52.589436	22.272478	63.503454
PGM3	21.226609	18.122542	54.425455	16.411962	28.709399	23.744667	36.893863
RWDD2A	0.829732	1.260667	2.869326	1.277008	2.050229	1.594021	3.587677
CLK1	59.069531	46.848587	50.125316	20.329719	88.053967	13.425363	57.247426
POLR3B	3.031939	1.997711	2.960256	2.936895	5.835793	1.926745	3.92776
ANGEL1	3.858057	7.682829	7.954029	5.994375	10.660123	5.146406	10.303736
RNF14	12.620577	12.184236	25.363676	14.298491	31.387822	8.641439	24.608583
